"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"what's-what"|"fact,truth of the matter,whole story,where it's at"|""|"what's what"|"what O.E. hwæt, from P.Gmc. *khwat (cf. O.S. hwat, O.N. hvat, Dan. hvad, O.Fris. hwet, Du. wat, O.H.G. hwaz, Ger. was, Goth. hva ""what""), from PIE *qwod, neut. sing. of *qwos ""who"" (see who). Meaning ""what did you say?"" is recorded from c.1300; as an interrogative expletive at the end of sentences it is first recorded 1785, common early 20c. in affected British speech. Or what as an alternative end to a question is first attested 1766. ""To give one what for is to respond to his remonstrant what for? by further assault"" [Weekley]. The phrase is attested from 1873. What's-his-name for ""unspecified  ...person"" is attested from 1697; variant whatsisface is first recorded 1967. What's up? ""what is happening?"" first recorded 1881."
"what-it-take"|"perseverance,eagerness,zest,diligence,earnestness,ardor,gusto,warmth,intensity,determination,urgency,fervor,verve,sincerity,passion,fanaticism,spirit,devotion,inclination,readiness,alacrity,keenness,fierceness,yen,drive,dispatch,fire,mania,initiative,bustle,enterprise,push,vehemence,hustle,intentness,stick-to-itiveness,what-it-takes"|"apathy,laziness,lethargy,indifference,inactivity,insincerity,coolness,disinterest,dullness,neglect,discouragement,unenthusiasm"|"zeal"|""
"what-it-takes"|"perseverance,eagerness,zest,diligence,earnestness,ardor,gusto,warmth,intensity,determination,urgency,fervor,verve,sincerity,passion,fanaticism,spirit,devotion,inclination,readiness,alacrity,keenness,fierceness,yen,drive,dispatch,fire,mania,initiative,bustle,enterprise,push,vehemence,hustle,intentness,stick-to-itiveness"|"apathy,laziness,lethargy,indifference,inactivity,insincerity,coolness,disinterest,dullness,neglect,discouragement,unenthusiasm"|"zeal"|"what O.E. hwæt, from P.Gmc. *khwat (cf. O.S. hwat, O.N. hvat, Dan. hvad, O.Fris. hwet, Du. wat, O.H.G. hwaz, Ger. was, Goth. hva ""what""), from PIE *qwod, neut. sing. of *qwos ""who"" (see who). Meaning ""what did you say?"" is recorded from c.1300; as an interrogative expletive at the end of sentences it is first recorded 1785, common early 20c. in affected British speech. Or what as an alternative end to a question is first attested 1766. ""To give one what for is to respond to his remonstrant what for? by further assault"" [Weekley]. The phrase is attested from 1873. What's-his-name for ""unspecified  ...person"" is attested from 1697; variant whatsisface is first recorded 1967. What's up? ""what is happening?"" first recorded 1881."
"what-what"|"fact,truth of the matter,whole story,where it's at"|""|"what's what"|"what O.E. hwæt, from P.Gmc. *khwat (cf. O.S. hwat, O.N. hvat, Dan. hvad, O.Fris. hwet, Du. wat, O.H.G. hwaz, Ger. was, Goth. hva ""what""), from PIE *qwod, neut. sing. of *qwos ""who"" (see who). Meaning ""what did you say?"" is recorded from c.1300; as an interrogative expletive at the end of sentences it is first recorded 1785, common early 20c. in affected British speech. Or what as an alternative end to a question is first attested 1766. ""To give one what for is to respond to his remonstrant what for? by further assault"" [Weekley]. The phrase is attested from 1873. What's-his-name for ""unspecified  ...person"" is attested from 1697; variant whatsisface is first recorded 1967. What's up? ""what is happening?"" first recorded 1881."
"whatchamacallit"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatsis,you know who,what's his/her name"|"known,named,identified"|"anonymous,apparatus,device,doodad,doohickey,gadget"|"whatchamacallit 1928, compressed form of phrase ""what you may call it."" Earliest recorded variant is what-calle-ye-hym, attested from c.1473."
"whatchamacallits"|"gear,means,appliance,mechanism,machine,machinery,device,gizmo,jigger,doodad,gimmick,paraphernalia,dingbat,supplies,contraption,widget,provisions,outfit,job,tackle,gimcrack,furnishings,setup,stuff,thingamajig,implement,doohickey,black box,idiot box,whatsis,utensils,habiliments,tools,whatchamacallit,grabber,accoutrement,gaff,whosis"|"destruction,ruin,disorganization"|"apparatus,device,doodad,doohickey,gadget,gizmo"|"whatchamacallit 1928, compressed form of phrase ""what you may call it."" Earliest recorded variant is what-calle-ye-hym, attested from c.1473."
"whatever"|"any,everything,whatsoever"|""|"any,anything,et cetera,which"|"whatever c.1300, from what + ever. Variant form whatsoever is attested somewhat earlier (mid-13c.)."
"whatever happen"|"whatever happens,whatever may happen"|""|"que sera sera"|""
"whatever happens"|"anyway,about,any which way,around,haphazard,haphazardly,helter-skelter,however,nevertheless,random,regardless,willy-nilly,at any rate,at random,in any case,in any respect,in any way,in either way,in one way or another,in whatever way,randomly,under any circumstances"|""|"anyhow,que sera sera"|""
"whatever may happen"|"whatever happens"|""|"que sera sera"|""
"whatever may happens"|"whatever happens,whatever may happen"|""|"que sera sera"|""
"whatevers"|"everything,all,whatever,any one thing,anything at all"|""|"anything"|""
"whatfor"|"confirmation,apology,basis,explanation,vindication,argument,rationale,rationalization,pretext,approval,idea,wherefore,defense,absolution,palliation,story,support,mitigation,answer,reply,rebuttal,warrant,extenuation,exculpation,plea,response,exoneration,account,redemption,advocacy,acquittal,apologia,validation,salvation,grounds,song and dance,sanctification,palliative,whitewashing,whole idea,why and wherefore,raison d'être"|"indictment,request,sentence,opposition,charge,question"|"justification,purpose,rationale,reason"|""
"whatfors"|"confirmation,apology,basis,explanation,vindication,argument,rationale,rationalization,pretext,approval,idea,wherefore,defense,absolution,palliation,story,support,mitigation,answer,reply,rebuttal,warrant,extenuation,exculpation,plea,response,exoneration,account,redemption,advocacy,acquittal,apologia,validation,salvation,grounds,song and dance,sanctification,palliative,whatfor,whitewashing,whole idea,why and wherefore,raison d'être"|"indictment,request,sentence,opposition,charge,question"|"justification,purpose,rationale,reason"|""
"whatnot"|"antique,trinket,trifle,toy,bygone,bauble,bibelot,collectible,collector's item,objet d'art"|"destruction,ruin,disorganization"|"curio,device,et cetera,knickknack,novelty,trifle"|"whatnot 1540, ""anything,"" from what + not. As the name of a furniture item, first attested 1808, so named for the objects it is meant to hold."
"whatnots"|"antique,trinket,trifle,toy,bygone,bauble,bibelot,collectible,whatnot,collector's item,objet d'art"|"destruction,ruin,disorganization"|"curio,device,knickknack,novelty,trifle,trinket"|"whatnot 1540, ""anything,"" from what + not. As the name of a furniture item, first attested 1808, so named for the objects it is meant to hold."
"whats coming one"|"comeuppance,desert,deserts,punishment,reward,dueness,meed,what is due,what is merited,dose of one's own medicine,what's coming to one"|""|"just deserts"|""
"whats coming to one"|"comeuppance,desert,deserts,punishment,reward,dueness,meed,what is due,what is merited,dose of one's own medicine,what's coming to one"|""|"just deserts"|""
"whats cooking"|"picture,story,setup,recipe,project,plan,scheme,brainchild,deliberation,point,machination,scene,trick,conspiracy,thought,pitch,gimmick,volition,plot,end,goal,thinking,purport,objective,schema,play,object,aim,meaning,purpose,child,angle,reflection,animus,target,scenario,undertaking,notion,will,proposition,enterprise,action,intrigue,view,big picture,game plan,lay of the land,conation,intendment,what's cooking"|"idleness,inactivity"|"design"|""
"whats cookings"|"picture,story,setup,recipe,project,plan,scheme,brainchild,deliberation,point,machination,scene,trick,conspiracy,thought,pitch,gimmick,volition,plot,end,goal,thinking,purport,objective,schema,play,object,aim,meaning,purpose,child,angle,reflection,animus,target,scenario,undertaking,notion,will,proposition,enterprise,action,intrigue,view,big picture,game plan,lay of the land,conation,intendment,what's cooking"|"idleness,inactivity"|"design"|""
"whats done"|"style,management,nature,practice,presence,demeanor,attitude,role,act,action,performance,conduct,bearing,code,observance,morals,etiquette,taste,course,tone,deed,mien,decorum,carriage,comportment,speech,way,routine,seemliness,savoir-faire,form,convention,tact,delivery,dealings,decency,address,front,ethics,bag,ritual,air,propriety,deportment,mode,guise,expression,talk,social graces,ways,habits,tenue,way of life,what's done"|"cessation,idleness,inactivity,inertia,repose,stoppage,carelessness,thoughtlessness,indecency,bad manners,quiet,silence,impropriety,rest,immorality,listening"|"behavior"|""
"whats dones"|"style,management,nature,practice,presence,demeanor,attitude,role,act,action,performance,conduct,bearing,code,observance,morals,etiquette,taste,course,tone,deed,mien,decorum,carriage,comportment,speech,way,routine,seemliness,savoir-faire,form,convention,tact,delivery,dealings,decency,address,front,ethics,bag,ritual,air,propriety,deportment,mode,guise,expression,talk,social graces,ways,habits,tenue,way of life,what's done"|"cessation,idleness,inactivity,inertia,repose,stoppage,carelessness,thoughtlessness,indecency,bad manners,quiet,silence,impropriety,rest,immorality,listening"|"behavior"|""
"whats going around"|"contagion,scourge,rash,wave,spread,plague,outbreak,pest,pestilence,growth,upsurge,endemic,what's going around"|"advantage"|"epidemic,germ,illness,infection"|""
"whats going arounds"|"contagion,scourge,rash,wave,spread,plague,outbreak,pest,pestilence,growth,upsurge,endemic,what's going around"|"advantage"|"epidemic,germ,illness,infection"|""
"whats going down"|"announcement,notice,handout,publication,dispatch,account,scoop,communication,flash,list,break,release,program,item,statement,report,news,calendar,skinny,news flash,communiqué,hot wire,the dope,what's going down,what's happening"|"quiet"|"bulletin,episode"|""
"whats going downs"|"announcement,notice,handout,publication,dispatch,account,scoop,communication,flash,list,break,release,program,item,statement,report,news,calendar,skinny,news flash,communiqué,hot wire,the dope,what's going down,what's happening"|"quiet"|"bulletin,episode"|""
"whats happening"|"announcement,notice,handout,publication,dispatch,account,scoop,communication,flash,list,break,release,program,item,statement,report,news,calendar,skinny,news flash,communiqué,hot wire,the dope,what's going down,what's happening"|"quiet"|"bulletin,fresh,greeting,hello"|""
"whats happenings"|"announcement,notice,handout,publication,dispatch,account,scoop,communication,flash,list,break,release,program,item,statement,report,news,calendar,skinny,news flash,communiqué,hot wire,the dope,what's going down,what's happening"|"quiet"|"bulletin,greeting"|""
"whats his her name"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatchamacallit,whatsis,you know who,what's his/her name"|"known,named,identified"|"anonymous"|""
"whats his-her name"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatchamacallit,whatsis,you know who,what's his/her name"|"known,named,identified"|"anonymous"|""
"whats his/her name"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatchamacallit,whatsis,you know who,what's his/her name"|"known,named,identified"|"anonymous"|""
"whats hisher name"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatchamacallit,whatsis,you know who,what's his/her name"|"known,named,identified"|"anonymous"|""
"whats more"|"also,too,likewise,additionally,aside from,beyond,else,exclusive of,extra,further,furthermore,more,moreover,otherwise,plus,secondly,yet,added to,along with,and all,apart from,as well as,conjointly,exceeding,in conjunction with,in distinction to,in excess of,in other respects,more than,not counting,on the side,on top of everything,other than,over and above,supplementary to,to boot,together with,with the exception of,what's more"|""|"besides,further,furthermore"|""
"whats under hood"|"generator,tool,power plant,appliance,instrument,motor,weapon,cylinder,apparatus,means,pot,mechanism,fan,contrivance,agent,dynamo,barrel,implement,rubber band,transformer,diesel,turbine,horses,powerhouse,piston,power train,putt-putt,what's under the hood"|""|"engine,motor"|""
"whats under the hood"|"generator,tool,power plant,appliance,instrument,motor,weapon,cylinder,apparatus,means,pot,mechanism,fan,contrivance,agent,dynamo,barrel,implement,rubber band,transformer,diesel,turbine,horses,powerhouse,piston,power train,putt-putt,what's under the hood"|""|"engine,motor"|""
"whats up"|"welcome,howdy,hi,greetings,bonjour,buenas noches,buenos dias,good day,good morning,hey,hi-ya,how are you,how goes it,howdy-do,shalom,what's happening,what's up"|"adios,au revoir,goodbye"|"hello"|""
"whats upped"|"welcome,howdy,hi,greetings,bonjour,buenas noches,buenos dias,good day,good morning,hey,hi-ya,how are you,how goes it,howdy-do,shalom,what's happening,what's up"|"adios,au revoir,goodbye"|"hello"|""
"whats upping"|"welcome,howdy,hi,greetings,bonjour,buenas noches,buenos dias,good day,good morning,hey,hi-ya,how are you,how goes it,howdy-do,shalom,what's happening,what's up"|"adios,au revoir,goodbye"|"hello"|""
"whats ups"|"welcome,howdy,hi,greetings,bonjour,buenas noches,buenos dias,good day,good morning,hey,hi-ya,how are you,how goes it,howdy-do,shalom,what's happening,what's up"|"adios,au revoir,goodbye"|"hello"|""
"whats what"|"fact,truth of the matter,whole story,where it's at"|"theory,lie,fabrication"|"what's what,fact,information,particular,reality"|"what O.E. hwæt, from P.Gmc. *khwat (cf. O.S. hwat, O.N. hvat, Dan. hvad, O.Fris. hwet, Du. wat, O.H.G. hwaz, Ger. was, Goth. hva ""what""), from PIE *qwod, neut. sing. of *qwos ""who"" (see who). Meaning ""what did you say?"" is recorded from c.1300; as an interrogative expletive at the end of sentences it is first recorded 1785, common early 20c. in affected British speech. Or what as an alternative end to a question is first attested 1766. ""To give one what for is to respond to his remonstrant what for? by further assault"" [Weekley]. The phrase is attested from 1873. What's-his-name for ""unspecified  ...person"" is attested from 1697; variant whatsisface is first recorded 1967. What's up? ""what is happening?"" first recorded 1881."
"whats will be will be"|"it is fated,oh well,que sera sera,such is life,what will be will be,it's in the cards,that's how the cookie crumbles,that's life,that's reality"|""|"c'est la vie"|""
"whats-what"|"fact,truth of the matter,whole story,where it's at"|""|"what's what"|"what O.E. hwæt, from P.Gmc. *khwat (cf. O.S. hwat, O.N. hvat, Dan. hvad, O.Fris. hwet, Du. wat, O.H.G. hwaz, Ger. was, Goth. hva ""what""), from PIE *qwod, neut. sing. of *qwos ""who"" (see who). Meaning ""what did you say?"" is recorded from c.1300; as an interrogative expletive at the end of sentences it is first recorded 1785, common early 20c. in affected British speech. Or what as an alternative end to a question is first attested 1766. ""To give one what for is to respond to his remonstrant what for? by further assault"" [Weekley]. The phrase is attested from 1873. What's-his-name for ""unspecified  ...person"" is attested from 1697; variant whatsisface is first recorded 1967. What's up? ""what is happening?"" first recorded 1881."
"whatsis"|"unidentified,unnamed,undisclosed,nameless,incognito,pseudo,pseudonymous,secret,unspecified,unsigned,Jane/John Doe,X,bearding,innominate,so and so,such and such,unacknowledged,unattested,unavowed,unclaimed,uncredited,undesignated,whatchamacallit,you know who,what's his/her name"|"known,named,identified"|"anonymous,apparatus,contrivance"|""
"whatsises"|"gear,means,appliance,mechanism,machine,machinery,device,gizmo,jigger,doodad,gimmick,paraphernalia,dingbat,supplies,contraption,widget,provisions,outfit,job,tackle,gimcrack,furnishings,setup,stuff,thingamajig,implement,doohickey,black box,idiot box,whatsis,utensils,habiliments,tools,whatchamacallit,grabber,accoutrement,gaff,whosis"|"disorganization"|"apparatus,contrivance"|""
"whatsit"|"gear,apparatus,gadget,material,appliance,mechanism,accessory,machine,equipment,creation,agent,invention,gimmick,arrangement,rigging,makeshift,resort,contraption,medium,means,utensil,outfit,construction,contrivance,tackle,article,resource,shift,doohickey,expedient,implement,whatnot,thingamabob,whatchamacallit,Rube Goldberg invention"|"destruction,ruin,disorganization"|"device"|""
"whatsits"|"gear,apparatus,gadget,material,appliance,mechanism,accessory,machine,equipment,creation,agent,invention,gimmick,arrangement,rigging,makeshift,resort,contraption,medium,means,utensil,outfit,construction,contrivance,tackle,article,resource,shift,doohickey,expedient,implement,whatnot,thingamabob,whatchamacallit,Rube Goldberg invention,whatsit"|"destruction,ruin,disorganization"|"device"|""
"whatsoever"|"any,everything"|""|"whatever"|""
"whatted will be will be"|"it is fated,oh well,que sera sera,such is life,what will be will be,it's in the cards,that's how the cookie crumbles,that's life,that's reality"|""|"c'est la vie"|""
"whatting will be will be"|"it is fated,oh well,que sera sera,such is life,what will be will be,it's in the cards,that's how the cookie crumbles,that's life,that's reality"|""|"c'est la vie"|""
"wheal"|"abscess,sore,welt,ulcer,cyst,pimple,carbuncle,wale,weal,sac,bubble,burn,vesicle,canker,boil,blain,vesication,furuncle,bleb,pustule,bulla"|""|"blister,welt,weal"|"wheal ""mark made on the skin by a whip,"" 1808, probably an alteration of wale, possibly by confusion with weal ""welt,"" and obsolete wheal ""pimple, pustule"" (1440), from O.E. verb hwelian ""to form pus, bring to a head."""
"wheals"|"abscess,sore,welt,ulcer,cyst,pimple,carbuncle,wale,weal,sac,bubble,burn,vesicle,canker,boil,blain,vesication,furuncle,bleb,pustule,wheal,bulla"|""|"blister,welt,weal"|"wheal ""mark made on the skin by a whip,"" 1808, probably an alteration of wale, possibly by confusion with weal ""welt,"" and obsolete wheal ""pimple, pustule"" (1440), from O.E. verb hwelian ""to form pus, bring to a head."""
"wheat"|"grass,cereal,durum,spelt,gluten,semolina"|""|"cereal,gold,pancake"|"wheat O.E. hwæte ""wheat,"" from P.Gmc. *khwaitijaz (cf. O.S. hweti, O.N. hveiti, Norw. kveite, O.Fris. hwete, M.Du., Du. weit, O.H.G. weizzi, Ger. Weizen, Goth. hvaiteis ""wheat""), lit. ""that which is white,"" from *khwitaz-, the source of O.E. hwit (see white; and cf. Welsh gwenith ""wheat,"" related to gwenn ""white""). The Old World grain was introduced into New Spain in 1528. Wheaties, the cereal brand name, was patented 1925."
"wheat cake"|"cake,waffle,wheat,blanket,griddle cake,crepe,hotcake,sourdough,johnnycake,flapjack,batter cake,jonnycake"|""|"pancake"|""
"wheat cakes"|"cake,waffle,wheat,blanket,griddle cake,crepe,hotcake,sourdough,johnnycake,flapjack,batter cake,jonnycake,wheat cake"|""|"pancake"|""
"wheat pit"|"pit,commodities exchange,commodities futures market,corn pit"|""|"commodity exchange"|""
"wheat pits"|"pit,commodities exchange,commodities futures market,corn pit,wheat pit"|""|"commodity exchange"|""
"wheater"|"aureate,blond,blonde,dusty,honeyed,straw,tan,tawny,wheat,auric,auriferous,aurous,aurulent,caramel,flaxen,mellow yellow,ochroid"|""|"gold"|""
"wheatest"|"aureate,blond,blonde,dusty,honeyed,straw,tan,tawny,wheat,auric,auriferous,aurous,aurulent,caramel,flaxen,mellow yellow,ochroid"|""|"gold"|""
"wheedle"|"finagle,cajole,draw,oil,court,coax,seduce,flatter,banter,snow,inveigle,persuade,charm,entice,sweet-talk,blandish,kowtow,soap,con,butter up,soft-soap,worm,lay it on,soften up,spread it on,sweeten up,work on"|"offend,disgust,dissuade,repel,repulse,turn off,disenchant"|"cajole,coax,con,entice,entreat,flatter"|"wheedle ""to influence by flattery,"" 1661, perhaps connected with O.E. wædlian ""to beg"" (from wædl ""poverty""), or borrowed by Eng. soldiers in the 17c. German wars from Ger. wedeln ""wag the tail,"" hence ""fawn, flatter"" (cf. adulation)."
"wheedler"|"allurer,charmer,lurer,siren,tempter,coaxer,persuader"|""|"enticer"|"wheedle ""to influence by flattery,"" 1661, perhaps connected with O.E. wædlian ""to beg"" (from wædl ""poverty""), or borrowed by Eng. soldiers in the 17c. German wars from Ger. wedeln ""wag the tail,"" hence ""fawn, flatter"" (cf. adulation)."
"wheedlers"|"allurer,charmer,lurer,siren,tempter,coaxer,persuader,wheedler"|""|"enticer"|"wheedle ""to influence by flattery,"" 1661, perhaps connected with O.E. wædlian ""to beg"" (from wædl ""poverty""), or borrowed by Eng. soldiers in the 17c. German wars from Ger. wedeln ""wag the tail,"" hence ""fawn, flatter"" (cf. adulation)."
"wheedle"|"finagle,cajole,draw,oil,court,coax,seduce,flatter,banter,snow,inveigle,persuade,charm,entice,sweet-talk,blandish,kowtow,soap,con,butter up,soft-soap,worm,lay it on,soften up,spread it on,sweeten up,work on"|"offend,disgust,dissuade,repel,repulse,turn off,disenchant"|"cajole,coax,con,entice,entreat,flatter"|"wheedle ""to influence by flattery,"" 1661, perhaps connected with O.E. wædlian ""to beg"" (from wædl ""poverty""), or borrowed by Eng. soldiers in the 17c. German wars from Ger. wedeln ""wag the tail,"" hence ""fawn, flatter"" (cf. adulation)."
"wheedle"|"finagle,cajole,draw,oil,court,coax,seduce,flatter,banter,snow,inveigle,persuade,charm,entice,sweet-talk,blandish,kowtow,soap,con,butter up,soft-soap,worm,lay it on,soften up,spread it on,sweeten up,work on"|"offend,disgust,dissuade,repel,repulse,turn off,disenchant"|"blarney,fulsome,persuasion,persuasive,blandishment,cajole"|"wheedle ""to influence by flattery,"" 1661, perhaps connected with O.E. wædlian ""to beg"" (from wædl ""poverty""), or borrowed by Eng. soldiers in the 17c. German wars from Ger. wedeln ""wag the tail,"" hence ""fawn, flatter"" (cf. adulation)."
"wheedlings"|"honey,fawning,exaggeration,blandishment,incense,adulation,oil,baloney,soft soap,sweet talk,inveiglement,compliments,wheedling,coaxing,ingratiation,overpraise,eyewash,cajolery,a line,soft words"|"disability,ineffectiveness,weakness,incompetence,hindrance,prevention,atheism,disbelief,impotence,discouragement,dissuasion"|"blarney,persuasion,blandishment"|""
"wheel"|"disk,drum,whirl,gyre,rotation,circulation,pulley,hoop,circumvolution,round,turn,gyration,circuit,twirl,pivot,spin,roll,ring,cycle,roller,trolley,ratchet,caster"|""|"boss,circle,circle,circuit,circulation,cog"|"wheel O.E. hweol, hweogol, from P.Gmc. *khwekhwlan, *khwegwlan (cf. O.N. hvel, O.Swed. hiughl, O.Fris. hwel, M.Du. weel), from PIE *k(w)e-k(w)lo- ""wheel, circle"" (cf. O.C.S. kolo ""wheel""), a reduplicated form from base *k(w)el- ""to go round"" (see cycle). Figurative sense is early 14c. The verb meaning ""to turn like a wheel"" is attested from early 13c.; trans. sense attested from late 14c. Slang wheels ""a car"" is recorded from 1959. Wheeler-dealer is from 1950s, a rhyming elaboration of dealer; wheelie is from 1966. Wheelchair first recorded c.1700."
"wheel and deal"|"finagle,lobby,plot,scheme,wire-pull"|""|"finagle"|"wheel O.E. hweol, hweogol, from P.Gmc. *khwekhwlan, *khwegwlan (cf. O.N. hvel, O.Swed. hiughl, O.Fris. hwel, M.Du. weel), from PIE *k(w)e-k(w)lo- ""wheel, circle"" (cf. O.C.S. kolo ""wheel""), a reduplicated form from base *k(w)el- ""to go round"" (see cycle). Figurative sense is early 14c. The verb meaning ""to turn like a wheel"" is attested from early 13c.; trans. sense attested from late 14c. Slang wheels ""a car"" is recorded from 1959. Wheeler-dealer is from 1950s, a rhyming elaboration of dealer; wheelie is from 1966. Wheelchair first recorded c.1700."
"wheel deal"|"finagle,lobby,plot,scheme,wire-pull"|""|"wheel and deal,finagle"|"wheel O.E. hweol, hweogol, from P.Gmc. *khwekhwlan, *khwegwlan (cf. O.N. hvel, O.Swed. hiughl, O.Fris. hwel, M.Du. weel), from PIE *k(w)e-k(w)lo- ""wheel, circle"" (cf. O.C.S. kolo ""wheel""), a reduplicated form from base *k(w)el- ""to go round"" (see cycle). Figurative sense is early 14c. The verb meaning ""to turn like a wheel"" is attested from early 13c.; trans. sense attested from late 14c. Slang wheels ""a car"" is recorded from 1959. Wheeler-dealer is from 1950s, a rhyming elaboration of dealer; wheelie is from 1966. Wheelchair first recorded c.1700."
"wheel fortune"|"big six wheel,gambling wheel,raffle wheel,roulette wheel,fortune's wheel"|"loss,disadvantage,protection,safeguard,safety,reality,aim,design,plan,certainty,surety,assurance,law,scheme"|"wheel of fortune,chance,destiny,fate,fortune,lot"|""
"wheel life"|"biological clock,biorhythm,circuition,life process,wheel of life"|""|"life cycle"|""
"wheel of fortune"|"big six wheel,gambling wheel,raffle wheel,roulette wheel,fortune's wheel"|""|"chance,destiny,fate,fortune,lot,Lady Luck"|""
"wheel of life"|"biological clock,biorhythm,circuition,life process"|""|"life cycle"|""
"wheel-fortune"|"big six wheel,gambling wheel,raffle wheel,roulette wheel,fortune's wheel"|""|"wheel of fortune"|""
"wheelbarrow"|"wagon,truck,buggy,dray,gig,dolly,barrow,rickshaw,pushcart,handcart,tumbrel,palanquin,gurney,curricle,tilbury,two-wheeler"|""|"cart"|"wheelbarrow mid-14c., from wheel + barrow (1)."
"wheelbarrow economic"|"devaluation,overextension,run-away inflation,wheelbarrow economics"|""|"hyperinflation"|""
"wheelbarrow economics"|"devaluation,overextension,run-away inflation"|""|"hyperinflation"|""
"wheelbarrows"|"wagon,truck,buggy,dray,gig,dolly,barrow,rickshaw,pushcart,handcart,tumbrel,palanquin,wheelbarrow,gurney,curricle,tilbury,two-wheeler"|""|"cart"|"wheelbarrow mid-14c., from wheel + barrow (1)."
"wheel"|"whirl,spin,twirl,pivot,swivel,orbit,circle,gyrate,swing,revolve,reel,roll,trundle,pirouette"|""|"circle,deflect,dial,divert,drive,pivot"|"wheel O.E. hweol, hweogol, from P.Gmc. *khwekhwlan, *khwegwlan (cf. O.N. hvel, O.Swed. hiughl, O.Fris. hwel, M.Du. weel), from PIE *k(w)e-k(w)lo- ""wheel, circle"" (cf. O.C.S. kolo ""wheel""), a reduplicated form from base *k(w)el- ""to go round"" (see cycle). Figurative sense is early 14c. The verb meaning ""to turn like a wheel"" is attested from early 13c.; trans. sense attested from late 14c. Slang wheels ""a car"" is recorded from 1959. Wheeler-dealer is from 1950s, a rhyming elaboration of dealer; wheelie is from 1966. Wheelchair first recorded c.1700."
"wheeled fortune"|"chance,portion,doom,end,lot,cup,ending,preordain,predestine,effect,break,predetermine,destine,foreordain,issue,circumstance,consequence,destination,destiny,fortune,future,handwriting on the wall,horoscope,karma,kismet,luck,nemesis,outcome,predestination,providence,termination,upshot,stars,divine will,inescapableness,Moirai,wheel of fortune"|"join"|"predestinate,predestine"|""
"wheeled of fortune"|"chance,portion,doom,end,lot,cup,ending,preordain,predestine,effect,break,predetermine,destine,foreordain,issue,circumstance,consequence,destination,destiny,fortune,future,handwriting on the wall,horoscope,karma,kismet,luck,nemesis,outcome,predestination,providence,termination,upshot,stars,divine will,inescapableness,Moirai,wheel of fortune"|"join"|"predestinate,predestine"|""
"wheeler and dealer"|"VIP,catalyst,doer,entrepreneur,generator,leader,lightning rod,player,presence,spark plug,upstart,whip,go-getter,heavyweight,producer,heavy hitter,achiever,affluential,enterprising person,man of influence,mover,palpable presence,pathfinder,trailblazer"|""|"mover and shaker,rising star,up-and-comer"|""
"wheeler and dealers"|"VIP,catalyst,doer,entrepreneur,generator,leader,lightning rod,player,presence,spark plug,upstart,whip,go-getter,heavyweight,producer,heavy hitter,achiever,affluential,enterprising person,man of influence,mover,palpable presence,pathfinder,trailblazer,wheeler and dealer"|""|"mover and shaker,rising star,up-and-comer"|""
"wheeler dealer"|"operator,strategist,Yankee horse trader,big-time operator,gamesman,horse trader"|"customer"|"wheeler-dealer,businessperson,mover and shaker,rising star,up-and-comer"|""
"wheeler-dealer"|"operator,strategist,Yankee horse trader,big-time operator,gamesman,horse trader"|""|"businessperson"|""
"wheelerdealer"|"operator,strategist,Yankee horse trader,big-time operator,gamesman,horse trader"|"customer"|"wheeler-dealer,businessperson"|""
"wheel"|"whirl,spin,twirl,pivot,swivel,orbit,circle,gyrate,swing,revolve,reel,roll,trundle,pirouette"|""|"rolling,circle,deflect,dial,divert,drive"|"wheel O.E. hweol, hweogol, from P.Gmc. *khwekhwlan, *khwegwlan (cf. O.N. hvel, O.Swed. hiughl, O.Fris. hwel, M.Du. weel), from PIE *k(w)e-k(w)lo- ""wheel, circle"" (cf. O.C.S. kolo ""wheel""), a reduplicated form from base *k(w)el- ""to go round"" (see cycle). Figurative sense is early 14c. The verb meaning ""to turn like a wheel"" is attested from early 13c.; trans. sense attested from late 14c. Slang wheels ""a car"" is recorded from 1959. Wheeler-dealer is from 1950s, a rhyming elaboration of dealer; wheelie is from 1966. Wheelchair first recorded c.1700."
"wheeling and dealing"|"banter,reciprocity,exchange,collaboration,trade,compromise,swap,cooperation,offset,concession,settlement,adaptability,trade-off,deal-making"|"difference,disagreement"|"give-and-take"|""
